ModId	count(*)
60	124
75	93
3	85
5	83
6	82
78	76
35	74
62	60
28	58
9	57
1	56
18	54
66	52
42	52
34	50
40	49
29	49
59	48
12	46
27	44
4	43
48	43
88	43
11	42
21	40
8	39
85	39
24	39
22	37
76	37
15	35
74	35
26	34
31	34
14	33
7	32
17	31
47	31
10	31
73	31
30	29
65	29
25	28
13	27
49	27
45	26
2	26
77	26
84	25
19	25
64	24
33	24
61	23
23	23
68	22
53	20
41	20
38	20
51	19
72	19
32	18
63	18
52	17
67	17
16	17
20	16
71	16
69	15
36	15
46	14
56	13
89	13
37	12
55	10
39	10
58	9
54	9
50	8
70	8
44	6
43	6
57	4
81	1
80	1
